date,description,amount,category,transaction_type
2024-07-06,Reliance Digital,1948.42,Shopping,Expense
2024-07-06,Uber,1880.74,Transportation,Expense
2024-07-06,Amazon,20276.95,Shopping,Expense
2024-07-06,Metro Card Recharge,9073.69,Transportation,Expense
2024-07-06,Indian Railways,1448.01,Transportation,Expense
2024-07-06,Reliance Digital,524.64,Shopping,Expense
2024-07-06,MakeMyTrip,8200.05,Travel,Expense
2024-07-06,Airtel Broadband,2439.21,Bills & Utilities,Expense
2024-07-07,Indian Railways,320.77,Transportation,Expense
2024-07-07,Myntra,2302.73,Shopping,Expense
2024-07-07,Myntra,629.91,Shopping,Expense
2024-07-07,Amazon,431.07,Shopping,Expense
2024-07-08,McDonalds,1485.13,Food,Expense
2024-07-08,Dental Checkup,632.38,Healthcare,Expense
2024-07-08,Local Bakery,1548.78,Food,Expense
2024-07-08,Monthly Rent,21119.51,Rent,Expense
2024-07-08,Apollo Pharmacy,2514.83,Healthcare,Expense
2024-07-08,Zomato,842.05,Food,Expense
2024-07-08,Myntra,334.48,Shopping,Expense
2024-07-08,Petrol Pump,1585.5,Transportation,Expense
2024-07-08,Cafe Coffee Day,1473.07,Food,Expense
2024-07-08,PVR Cinemas,1681.94,Entertainment,Expense
2024-07-09,Monthly Rent,11256.79,Rent,Expense
2024-07-09,Dominos Pizza,2531.35,Food,Expense
2024-07-09,Dominos Pizza,1364.93,Food,Expense
2024-07-09,Ola,349.36,Transportation,Expense
2024-07-09,Tech Corp Salary,63635.0,Salary,Income
2024-07-09,Myntra,2295.56,Shopping,Expense
2024-07-10,Cafe Coffee Day,1730.02,Food,Expense
2024-07-10,Freelance Gig,77821.32,Salary,Income
2024-07-10,Gas Cylinder,803.88,Bills & Utilities,Expense
2024-07-10,Zomato,1678.33,Food,Expense
2024-07-10,Oyo Rooms,9773.59,Travel,Expense
2024-07-10,Hotel Taj,8864.44,Travel,Expense
2024-07-10,Freelance Gig,95092.24,Salary,Income
2024-07-11,Amazon Prime,2517.03,Entertainment,Expense
2024-07-11,Dominos Pizza,1632.02,Food,Expense
2024-07-11,Zomato,354.96,Food,Expense
2024-07-11,Flipkart,911.91,Shopping,Expense
2024-07-11,Ola,2778.92,Transportation,Expense
2024-07-11,Monthly Rent,14886.62,Rent,Expense
2024-07-11,BookMyShow,1752.08,Entertainment,Expense
2024-07-11,Swiggy,2439.99,Food,Expense
2024-07-12,Hotel Taj,6668.7,Travel,Expense
2024-07-12,Monthly Rent,11088.17,Rent,Expense
2024-07-12,Cafe Coffee Day,1578.93,Food,Expense
2024-07-12,McDonalds,1103.85,Food,Expense
2024-07-12,Gas Cylinder,646.92,Bills & Utilities,Expense
2024-07-12,Zara,2773.67,Shopping,Expense
2024-07-12,Amazon,993.87,Shopping,Expense
2024-07-12,PVR Cinemas,2354.74,Entertainment,Expense
2024-07-12,Spotify,1378.41,Entertainment,Expense
2024-07-13,Uber,1884.51,Transportation,Expense
2024-07-13,Monthly Rent,22399.58,Rent,Expense
2024-07-13,Apollo Pharmacy,833.88,Healthcare,Expense
2024-07-13,Petrol Pump,2857.64,Transportation,Expense
2024-07-13,Ola,499.52,Transportation,Expense
2024-07-13,Freelance Gig,75336.61,Salary,Income
2024-07-13,PVR Cinemas,2821.0,Entertainment,Expense
2024-07-13,Netflix,2677.72,Entertainment,Expense
2024-07-14,Zara,448.74,Shopping,Expense
2024-07-14,Flipkart,481.06,Shopping,Expense
2024-07-14,Zomato,2971.68,Food,Expense
2024-07-14,Amazon,1508.04,Shopping,Expense
2024-07-14,Electricity Bill,1396.47,Bills & Utilities,Expense
2024-07-14,Monthly Rent,20322.63,Rent,Expense
2024-07-14,Zara,1080.57,Shopping,Expense
2024-07-14,Zara,947.39,Shopping,Expense
2024-07-14,Amazon Prime,1738.18,Entertainment,Expense
2024-07-14,Consulting Fee,65029.42,Salary,Income
2024-07-15,Uber,1059.36,Transportation,Expense
2024-07-15,Uber,137.42,Transportation,Expense
2024-07-15,Metro Card Recharge,333.16,Transportation,Expense
2024-07-15,Ola,1107.28,Transportation,Expense
2024-07-15,McDonalds,1586.78,Food,Expense
2024-07-16,DMart,15200.35,Shopping,Expense
2024-07-16,McDonalds,1998.24,Food,Expense
2024-07-16,Starbucks,1421.06,Food,Expense
2024-07-16,Myntra,1485.73,Shopping,Expense
2024-07-16,Monthly Rent,13209.19,Rent,Expense
2024-07-16,DMart,2910.57,Shopping,Expense
2024-07-16,Hotel Taj,8043.88,Travel,Expense
2024-07-16,Petrol Pump,316.72,Transportation,Expense
2024-07-17,Ola,401.12,Transportation,Expense
2024-07-17,Water Bill,2116.9,Bills & Utilities,Expense
2024-07-17,Dominos Pizza,620.33,Food,Expense
2024-07-17,Zara,1519.37,Shopping,Expense
2024-07-17,Amazon Prime,1782.3,Entertainment,Expense
2024-07-17,Amazon Prime,2366.78,Entertainment,Expense
2024-07-17,Water Bill,349.67,Bills & Utilities,Expense
2024-07-17,Zomato,1790.19,Food,Expense
2024-07-17,Cafe Coffee Day,910.57,Food,Expense
2024-07-17,McDonalds,870.71,Food,Expense
2024-07-17,Monthly Rent,24630.89,Rent,Expense
2024-07-17,Zomato,166.95,Food,Expense
2024-07-18,Hospital Bill,678.72,Healthcare,Expense
2024-07-18,Dominos Pizza,2909.83,Food,Expense
2024-07-18,Monthly Rent,28686.26,Rent,Expense
2024-07-18,Jio Recharge,1413.08,Bills & Utilities,Expense
2024-07-19,Jio Recharge,2854.92,Bills & Utilities,Expense
2024-07-19,Uber,1649.76,Transportation,Expense
2024-07-19,Petrol Pump,2698.99,Transportation,Expense
2024-07-19,Water Bill,135.34,Bills & Utilities,Expense
2024-07-20,Amazon,795.41,Shopping,Expense
2024-07-20,Apollo Pharmacy,915.83,Healthcare,Expense
2024-07-20,Airtel Broadband,715.31,Bills & Utilities,Expense
2024-07-20,Flipkart,203.83,Shopping,Expense
2024-07-21,Spotify,284.04,Entertainment,Expense
2024-07-21,Petrol Pump,141.5,Transportation,Expense
2024-07-21,Amazon,497.82,Shopping,Expense
2024-07-21,Cafe Coffee Day,467.81,Food,Expense
2024-07-21,Dental Checkup,2333.35,Healthcare,Expense
2024-07-21,Hospital Bill,2128.83,Healthcare,Expense
2024-07-21,Uber,359.18,Transportation,Expense
2024-07-21,PVR Cinemas,1094.51,Entertainment,Expense
2024-07-21,Indian Railways,892.55,Transportation,Expense
2024-07-22,Amazon,2755.85,Shopping,Expense
2024-07-22,Electricity Bill,2752.44,Bills & Utilities,Expense
2024-07-22,Reliance Digital,693.83,Shopping,Expense
2024-07-22,Swiggy,1765.31,Food,Expense
2024-07-22,Monthly Rent,22065.59,Rent,Expense
2024-07-22,Uber,816.03,Transportation,Expense
2024-07-22,Petrol Pump,2241.32,Transportation,Expense
2024-07-23,Zara,1639.96,Shopping,Expense
2024-07-23,Local Bakery,1116.22,Food,Expense
2024-07-23,Zomato,2190.89,Food,Expense
2024-07-23,Indian Railways,360.44,Transportation,Expense
2024-07-23,PVR Cinemas,1192.07,Entertainment,Expense
2024-07-23,Reliance Digital,1671.95,Shopping,Expense
2024-07-24,Petrol Pump,497.04,Transportation,Expense
2024-07-24,Uber,2513.56,Transportation,Expense
2024-07-24,Tech Corp Salary,34731.41,Salary,Income
2024-07-24,Amazon Prime,982.38,Entertainment,Expense
2024-07-24,DMart,1999.71,Shopping,Expense
2024-07-24,Ola,227.32,Transportation,Expense
2024-07-25,Monthly Rent,18842.62,Rent,Expense
2024-07-25,Airtel Broadband,2292.61,Bills & Utilities,Expense
2024-07-25,Amazon Prime,2119.97,Entertainment,Expense
2024-07-25,Spotify,1655.27,Entertainment,Expense
2024-07-25,Amazon Prime,2751.19,Entertainment,Expense
2024-07-25,Water Bill,975.18,Bills & Utilities,Expense
2024-07-25,Dominos Pizza,1457.5,Food,Expense
2024-07-25,Hotel Taj,10253.45,Travel,Expense
2024-07-26,Zomato,528.74,Food,Expense
2024-07-26,Airtel Broadband,2151.73,Bills & Utilities,Expense
2024-07-26,Amazon Prime,2966.65,Entertainment,Expense
2024-07-26,Freelance Gig,100125.21,Salary,Income
2024-07-26,Uber,1391.59,Transportation,Expense
2024-07-26,McDonalds,1623.35,Food,Expense
2024-07-27,Cafe Coffee Day,1957.21,Food,Expense
2024-07-27,DMart,866.02,Shopping,Expense
2024-07-27,Monthly Rent,19049.24,Rent,Expense
2024-07-27,DMart,1773.99,Shopping,Expense
2024-07-27,DMart,1839.02,Shopping,Expense
2024-07-27,Ola,931.32,Transportation,Expense
2024-07-27,Indian Railways,2640.4,Transportation,Expense
2024-07-28,Hospital Bill,1196.19,Healthcare,Expense
2024-07-28,Netflix,2169.84,Entertainment,Expense
2024-07-28,PVR Cinemas,2944.55,Entertainment,Expense
2024-07-28,Myntra,159.65,Shopping,Expense
2024-07-28,Ola,2400.85,Transportation,Expense
2024-07-28,Amazon,2241.77,Shopping,Expense
2024-07-28,Monthly Rent,20315.18,Rent,Expense
2024-07-28,Tech Corp Salary,39412.15,Salary,Income
2024-07-28,Cafe Coffee Day,2581.62,Food,Expense
2024-07-28,Uber,2759.3,Transportation,Expense
2024-07-29,Reliance Digital,668.35,Shopping,Expense
2024-07-29,Local Bakery,2770.96,Food,Expense
2024-07-29,Water Bill,850.38,Bills & Utilities,Expense
2024-07-29,Cafe Coffee Day,481.95,Food,Expense
2024-07-29,Dominos Pizza,2743.63,Food,Expense
2024-07-29,Hotel Taj,2958.49,Travel,Expense
2024-07-29,Ola,358.7,Transportation,Expense
2024-07-30,Gas Cylinder,1545.76,Bills & Utilities,Expense
2024-07-30,Consulting Fee,58952.02,Salary,Income
2024-07-30,Water Bill,943.05,Bills & Utilities,Expense
2024-07-30,Petrol Pump,1628.16,Transportation,Expense
2024-07-30,Oyo Rooms,3124.84,Travel,Expense
2024-07-30,Uber,2633.99,Transportation,Expense
2024-07-30,Zara,15795.26,Shopping,Expense
